name,city,swift_code
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP579"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPFTT"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPPFS"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPFOH"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP546"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPGCS"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPIPB"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPMOO"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPLOF"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPFDI"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPJBF"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPPIC"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNBB"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPINV"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPMPX"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPSLB"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPSLA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP127"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP145"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP277"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP3PM"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPEPG"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPTPA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPPTC"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","AGEN","BNPAFRPPAGN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","AIX EN PROVENCE","BNPAFRPPAIP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ALBI","BNPAFRPPALB"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","AMIENS","BNPAFRPPAMS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ANGERS","BNPAFRPPAGS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ANNECY","BNPAFRPPANC"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ARRAS","BNPAFRPPARR"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","AUXERRE","BNPAFRPPAUX"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","AVIGNON","BNPAFRPPAVI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BAYONNE","BNPAFRPPBAY"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BEAUVAIS","BNPAFRPPBVS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BESANCON","BNPAFRPPBSC"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BORDEAUX","BNPAFRPPBOR"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BORDEAUX","BNPAFRPPBOT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BORDEAUX","BNPAFRPPSAE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BREST","BNPAFRPPBRE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","BRIVE LA GAILLARDE","BNPAFRPPBRV"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CAEN","BNPAFRPPCAE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CANNES","BNPAFRPPCAN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CERGY PONTOISE","BNPAFRPPCER"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CHALON SUR SAONE","BNPAFRPPCHL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CHARTRES","BNPAFRPPCHS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CLERMONT FERRAND","BNPAFRPPCLF"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CREIL","BNPAFRPPCRE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","CRETEIL","BNPAFRPPCRT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","DIJON","BNPAFRPPBGE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","DIJON","BNPAFRPPDIJ"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","DINAN","BNPAFRPPDIN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","DUNKERQUE","BNPAFRPPDUN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ENGHEIN LES BAINS","BNPAFRPPENG"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","EPINAL","BNPAFRPPEPL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","EVRY","BNPAFRPPEVY"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","GAP","BNPAFRPPGAP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","GENNEVILLIERS","BNPAFRPPGNV"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","GRENOBLE","BNPAFRPPAAE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","GRENOBLE","BNPAFRPPGRE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","IVRY SUR SEINE","BNPAFRPPIVR"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LA ROCHELLE","BNPAFRPPROC"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LE HAVRE","BNPAFRPPHAV"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LE MANS","BNPAFRPPMAN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LILLE","BNPAFRPPNFE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LILLE","BNPAFRPPLIL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LOGNES","BNPAFRPPLMV"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LORIENT","BNPAFRPPLOR"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LYON","BNPAFRPPVBE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LYON","BNPAFRPPLPD"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","LYON","BNPAFRPPTAS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MANTES LA JOLIE","BNPAFRPPMNT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MARSEILLE","BNPAFRPPMED"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MARSEILLE","BNPAFRPPMEE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MARSEILLE","BNPAFRPPMAR"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MASSY","BNPAFRPPMAS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MELUN","BNPAFRPPMEL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","METZ","BNPAFRPPMTZ"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MONTPELLIER","BNPAFRPPMPL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","MULHOUSE","BNPAFRPPMUL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","NANCY","BNPAFRPPCNA"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","NANCY","BNPAFRPPNCY"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","NANTES","BNPAFRPPVLE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","NANTES","BNPAFRPPNAN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","NEUILLY SUR SEINE","BNPAFRPPNEU"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","NICE","BNPAFRPPNIC"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","NIMES","BNPAFRPPNIM"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ORLEANS","BNPAFRPPORE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ORLEANS","BNPAFRPPORL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCCS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCTG"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPDEF"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPGAI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPBP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPPP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPANI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPAA"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPBQ"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCHQ"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPAFE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPAEA"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPBFI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPEMC"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPBY"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPEQD"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPP032"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPP038"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPP039"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPP201"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPBU"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPICE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPIFS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPAE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCPI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPIPI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCFD"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPCE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCDE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCWB"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCIT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPSCE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPLZ"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPMPE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPACH"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCFI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPCSP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPFND"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPGN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPAK"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPICP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPCP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPIFE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPIFN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPIFO"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPIBF"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPINT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPTX"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPLAE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPMDE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPXV"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPFXC"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPOP"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPAC"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPVD"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPEE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPGA"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPRG"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPSU"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPKL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPTTN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPTE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPPGB"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPTSZ"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PAU","BNPAFRPPPAU"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PERPIGNAN","BNPAFRPPPPG"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","POITIERS","BNPAFRPPPOI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","REIMS","BNPAFRPPCRM"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","REIMS","BNPAFRPPRMS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","RENNES","BNPAFRPPCRN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","RENNES","BNPAFRPPREN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ROANNE","BNPAFRPPROA"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ROISSY EN FRANCE","BNPAFRPPROI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ROUBAIX","BNPAFRPPRBX"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ROUEN","BNPAFRPPCRO"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","ROUEN","BNPAFRPPROU"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","SAINT-DENIS","BNPAFRPPBGT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","SAINT-ETIENNE","BNPAFRPPETI"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","SAINT-GERMAIN-EN-LAYE","BNPAFRPPLAY"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","SAINT-MANDE","BNPAFRPPMDT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","SAINT-QUENTIN","BNPAFRPPQUE"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","SAINT-QUENTIN-EN-YVELINES","BNPAFRPPSQY"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","STRASBOURG","BNPAFRPPCST"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","STRASBOURG","BNPAFRPPSTR"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","TOULON","BNPAFRPPTLN"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","TOULOUSE","BNPAFRPPCTO"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","TOULOUSE","BNPAFRPPTLS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","TOURS","BNPAFRPPTOU"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","TROYES","BNPAFRPPTRO"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","VAL DE SEINE","BNPAFRPPBBT"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","VALENCE","BNPAFRPPVAL"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","VALENCIENNES","BNPAFRPPVCS"
"BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","VERSAILLES","BNPAFRPPVRS"
"BOA-FRANCE","PARIS","AFRIFRPP"
"BOCCARD S.A.","VILLEURBANNE","BCDDFR22"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP3"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4GPB"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP3PLX"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4ESF"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP3SEG"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4ECL"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4EQD"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP3FIC"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4FUT"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4EFG"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP3TSY"
"BOFA SECURITIES EUROPE S.A.","PARIS","BOFAFRP4UCT"
"BOIRON","MESSIMY","BRONFR22"
"BOISSIERE FINANCE","RUEIL MALMAISON","SCHNFR22"
"BOISSIERE FINANCE","RUEIL MALMAISON","SNEIFR22"
"BOLLORE SA","PUTEAUX","BOLLFR22"
"BONDUELLE S.A.","RENESCURE","BNDUFR22"
"BONNA SABLA SA","PARIS","BONAFRPP"
"BOURSE DIRECT SA","PARIS","BDIRFRPP"
"BOURSORAMA","BOULOGNE BILLANCOURT","BOUSFRPPBDF"
"BOURSORAMA","BOULOGNE BILLANCOURT","BOUSFRPP"
"BOUYGUES CONSTRUCTION","GUYANCOURT","BYCNFR22"
"BOUYGUES IMMOBILIER","ISSY LES MOULINEAUX","BYIMFR22"
"BPCE","PARIS","BPCEFRPPSFH"
"BPCE","PARIS","BPCEFRPP"
"BPCE DEFI","PARIS","SDBFFRPP"
"BPIFRANCE ASSURANCE EXPORT","MAISONS ALFORT","BPAXFR22"
"BPIFRANCE FINANCEMENT","MAISONS ALFORT","CPMEFRPPCRI"
"BPIFRANCE FINANCEMENT","MAISONS ALFORT","CPMEFRPP"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPP637"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPP638"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPPKUS"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPPAXL"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPPKYR"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPPBON"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPPKAS"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPP"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPPFDF"
"BRED BANQUE POPULAIRE","PARIS","BREDFRPPTRE"
"BRED GESTION","PARIS","BRGEFRPP"
"BRINK'S FRANCE FINANCE","PARIS","BFRFFRPP"
"BRISTOL-MYERS SQUIBB","RUEIL MALMAISON","BMSFFRPP"
"BULL","LES CLAYES SOUS BOIS","BUSAFRPP"
"BUNSHA INTERNATIONAL","HEM","KIAIFR22"
"BUREAU VERITAS SA","NEUILLY SUR SEINE","BUVEFRPP"
"BUTLER CORUM S.A.S.","PARIS","BUTCFRPP"
"BYBLOS BANK EUROPE S.A. (PARIS BRANCH)","PARIS","BYBBFRPP"
"C.C.V. BEAUMANOIR","SAINT-MALO","CCVBFR22"
"C.F.E.B SISLEY","PARIS","SSLYFRPP"
"C.R.H. - CAISSE DE REFINANCEMENT DE L'HABITAT S.A.","PARIS","CRRHFRPA"
"CA CONSUMER FINANCE","MASSY CEDEX","AGRLFR22"
"CA INDOSUEZ WEALTH (FRANCE)","PARIS","SIBLFRPP"
"CACEIS BANK","PARIS","ISAEFRPPEXT"
"CACEIS BANK","PARIS","ISAEFRPPETC"
"CACEIS BANK","PARIS","ISAEFRPPTCC"
"CACEIS BANK","PARIS","ISAEFRPPEXA"
"CACEIS BANK","PARIS","ISAEFRPPMCA"
"CACEIS BANK","PARIS","ISAEFRPPCMA"
"CACEIS BANK","PARIS","ISAEFRPPAIF"
"CACEIS BANK","PARIS","ISAEFRPPFDS"
"CACEIS BANK","PARIS","ISAEFRPP4SF"
"CACEIS BANK","PARIS","ISAEFRPPINS"
"CACEIS BANK","PARIS","ISAEFRPPUCI"
"CACEIS BANK","PARIS","ISAEFRPPPER"
"CACEIS BANK","PARIS","ISAEFRPPPTF"
"CACEIS BANK","PARIS","ISAEFRPPCAI"
"CACEIS BANK","PARIS","ISAEFRPPITM"
"CACEIS BANK","PARIS","ISAEFRPPCBL"
"CACEIS BANK","PARIS","ISAEFRPPISC"
"CACEIS BANK","PARIS","ISAEFRPPISO"
"CACEIS BANK","PARIS","ISAEFRPPIMC"
"CACEIS BANK","PARIS","ISAEFRPPIMO"
"CACEIS BANK","PARIS","ISAEFRPPMFS"
"CACEIS BANK","PARIS","ISAEFRPPSOL"
"CACEIS BANK","PARIS","ISAEFRPPS3C"
"CACEIS BANK","PARIS","ISAEFRPPINC"
"CACEIS BANK","PARIS","ISAEFRPPINO"
"CACEIS BANK","PARIS","ISAEFRPPKEC"
"CACEIS BANK","PARIS","ISAEFRPPKEO"
"CACEIS BANK","PARIS","ISAEFRPPNBC"
"CACEIS BANK","PARIS","ISAEFRPPNBO"
"CACEIS BANK","PARIS","ISAEFRPPOPX"
"CACEIS BANK","PARIS","ISAEFRPPOPO"
"CACEIS BANK","PARIS","ISAEFRPPTUL"
"CACEIS BANK","PARIS","ISAEFRPPPFS"
"CACEIS BANK","PARIS","ISAEFRPPTBM"
"CACEIS BANK","PARIS","ISAEFRPPCAL"
"CACEIS BANK","PARIS","ISAEFRPPAGT"
"CACEIS BANK","PARIS","ISAEFRPPBAA"
"CACEIS BANK","PARIS","ISAEFRPPCAC"
