name,city,swift_code
"BANK OF INDIA","PARIS","BKIDFRPP"
"BANQUE BCP","PARIS","BPSMFRPP"
"BANQUE BIA","PARIS","BIARFRPP"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPAMS"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPDVP"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPTRE"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPBRU"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPT01"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPT02"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPT03"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPRCP"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPTRI"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPSSD"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPVP1"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPCBP"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPOTC"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPEQ2"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPEQ1"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPMMO"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPSBL"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPASI"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPTG2"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPUSC"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPDEF"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPCLI"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPP"
"BANQUE CHAABI DU MAROC","PARIS","BCDMFRPP"
"BANQUE COURTOIS S.A.","TOULOUSE","COURFR2T"
"BANQUE DE FRANCE","PARIS","BDFEFR2T"
"BANQUE DE FRANCE","PARIS","BDFEFRPP"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTCI"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTSB"
"BANQUE DE FRANCE","PARIS","BDFEFR2TNCA"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTAH"
"BANQUE DE FRANCE","PARIS","BDFEFR2TWAL"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFPT"
"BANQUE DE FRANCE","PARIS","BDFEFR2T026"
"BANQUE DE FRANCE","PARIS","BDFEFR2T033"
"BANQUE DE FRANCE","PARIS","BDFEFR2T034"
"BANQUE DE FRANCE","PARIS","BDFEFR2T043"
"BANQUE DE FRANCE","PARIS","BDFEFR2T100"
"BANQUE DE FRANCE","PARIS","BDFEFR2T101"
"BANQUE DE FRANCE","PARIS","BDFEFR2T120"
"BANQUE DE FRANCE","PARIS","BDFEFR2T121"
"BANQUE DE FRANCE","PARIS","BDFEFR2T131"
"BANQUE DE FRANCE","PARIS","BDFEFR2T141"
"BANQUE DE FRANCE","PARIS","BDFEFR2T151"
"BANQUE DE FRANCE","PARIS","BDFEFR2T171"
"BANQUE DE FRANCE","PARIS","BDFEFR2T177"
"BANQUE DE FRANCE","PARIS","BDFEFR2T211"
"BANQUE DE FRANCE","PARIS","BDFEFR2T224"
"BANQUE DE FRANCE","PARIS","BDFEFR2T282"
"BANQUE DE FRANCE","PARIS","BDFEFR2T292"
"BANQUE DE FRANCE","PARIS","BDFEFR2TC30"
"BANQUE DE FRANCE","PARIS","BDFEFR2T3GX"
"BANQUE DE FRANCE","PARIS","BDFEFR2T228"
"BANQUE DE FRANCE","PARIS","BDFEFR2TAU2"
"BANQUE DE FRANCE","PARIS","BDFEFR2TAUT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TALT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFID"
